review,label
கமெண்ட் எல்லாம் பார்த்த சிரிப்பு தான் வருது ஆமா திரௌபதி குரூப் செக்ஸ் வெச்சிக்கிட்டவங்க தானே எப்படி தியேட்டரில் படம் வரும்,0
Surya anna massssss pakka waiting for kappan..... 🤩🤩🤩,1
Ithuve vijay nadiccitha vijayku politics aase vanthurucci athan ipedilar movie nadikkiran sollithu tiriye vendiyathu.. mattevenge nadicca athu entertaiment.. ponga daa koddeingelar,0
Naa trailer ah thalaivar kaga pakka varala..vj sethu anna kaga than pakka vandhurukken..🤩,0
nkp theme mathri iruku sngum apdtha iruku,1
Don't bother about 43k dislike Always terror in 523k+ rocking THALA Likes....! Oruthar mela neenga vishvasam katruthukaga innoruthra yen ashinga paduthiringa....?,0
orutharmela  neenga visuwasam kaatrathukaka inorthara edhuku asinga paduthuringa,0
"Arun Vijay looks dapper,, taru maru",1
Dislike pannave ratham kakkidha da savinga🤣,0
கடலூர் மாவட்டம் படையாச்சி சமூகத்தின் சார்பாக திரௌபதி காவியம் வெற்றியடைய வாழ்த்துகள்  சம்போ மகாதேவா,1
Karthi ku this movie hit kudukum.Here like.,1
போதும்டா யப்பா எங்களுக்கு ஏற்கனவே 2.5 மில்லியன் வியூஸ் வந்துடுச்சு.. இதுல இந்த ஓசி சோறு குரூப் வேர புகார் குடுக்குறன்னு விளம்பரம் பண்ணி விடுறானுங்க...,0
Marana mass ...  Thala  fans like here,1
Ennanga da views crash aiirucha romba neram ah appdiyae nikkidhu🤔🤔🤔,1
#ARR #SANTHOSHSIVAN #SREEKARPRASATH #MANIRATHNAM #VAIRAMUTHU Idhupodhum enaku.. Idhu podhume verenna venum..,1
Onnumey puriyala!! Pichi poota maadhiri eruku🤔🤔,1
Enna da panni vechurkinga amma va?,1
Rajani sir's akshay gi fans put ur like here,1
Please kaappaanla naddippin nayagan suriya nu podunga,1
Iptiye poitu irruntha sathiyama jaathi ozhiyathuda... Valara than seium...,0
Blue sattai maaran be like: kola gaandu la irruken,0
Hit like if you think Rajinikanth is a fucking joke,0
ஹா! ஹா! அடேய்களா... என்னங்கடா இது 2 நிமிச டீசரே 2 மணி நேரம் ஓடுர மாதிரி இருக்கு?!  டீசர பார்க்கும் போதே தெரியுது படத்தோட ஸ்கிரின்ப்ளே எப்படினு!,0
Iva partha jayalalitha oda koode nadantha sasikala mathiri iruke🤔 endrath enak mattum thaana thonnidchu🤔,1
Asuran Padam koothi mari iruku neega bigil kuda poti podrigala..bigil da,0
840k likes  77k comments  15 million views night kulla varanum,1
Ellam ok but at @2:18 kudikaran aadna maadhri irundhuchi...,0
தனது பெண்ணின் ஆசைக்காக வேறு சாதி ஆண் ஏற்று திருமணத்திற்கு சம்மதம் தெரிவித்து பெண்ணின் அப்பா.  திருமணத்திற்கு முன் அனைத்து சொத்துக்களையும் கோயிலுக்கு எழுதி வைத்த தந்தை..  கல்யாணமே வேணாம் என்று ஓடிய நாடக காதலன்..  #திரௌபதி #திரௌபதி_ட்ரைலர் #திரௌபதிமிரட்டுவாள்,1
idhula dislike panrudhuku ena irruku dislike panavanga ellam canapupan,0
yoov gv enaya ipd bangam ah bgm ah potruka mass uh ya,1
kudos !!!! VIVEGAM TEAM 300K LIKES UNDER 12 HOURS . BRAVO !!!!!!!!!,1
Finally i asking you  What did you Say  ?,1
Satyama sollren da...enala thanga mudila da...inimey ipdila biopic la evanum edukathinga,0
Rajine sira Kindal pana Ne yaruda venna,0
நாடோடிகள் எதற்க்கு வெற்றி அடைஞ்சுது... இப்ப நீ இத புரட்டசி type la எடுத்து வச்சிருக்க ..‌ லூசு பயலே # சமுத்துறகனி,0
pongal rece la yaru win pannuva? like petta comment viswasam,0
Nan koda padam than oduthu nu nenaichen  trailer ah da samy ivlo perusa pothu,0
ஆறுநாட்டு வெள்ளாளர் சமூகம் சார்பாக திரைப்படம் மாபெரும் வெற்றிகளை குவிக்க எனது வாழ்த்துக்கள்,1
Thala mass one day innum finish aagala 4 million views thandiruchu semmaaaa,1
Kangna raut big fan like hete,0
Sema Thala... Marana Masssss     Thalaaaaa....,1
Yethir patha alavuku trailer ila   Sasikumar kattai eaduthu adichathu car parakuthu enaga da dai yebba sammmi,0
இது வேரா லெவல் ஒத்த இந்த அணில் குஞ்சி தம்பிங்க எல்லாம் ஓரமா போய் விளையாட்டுங்க டா தமிழ் சினிமாவின் அடுத்து கட்டம் ஆரம்பம் வாழ்த்துக்கள் தல,0
44k views.... 60k likes in 1 hr..... 🤔,0
டிரெய்லர் மரன மாஸ் இயக்குனர் அண்ணன் மோகன் G அவர்களுக்கு திரௌபதி படம் வெற்றி பெற வாழ்த்துகள்  வேற லெவல் வெறித்தனம்..,1
Cast paakakudaathunu soldringha aana intha arasaanghame cast vachi thaan. Education tharaangha  een tnpsc la kooda cast vachithaan vellai tharaangha ithu kalaiyanum thiramai irukravangha munnaadi varanum athukku  mohan  sur movie veliyaa varanum,0
Vivegam Part 2 madhiriye oru feeling-u 🤔,0
Akshay Kumar ku Voice Sari illa,0
